protein,mean_orig,mean_ko,diff
SCD5,-0.090767674,0.16774455,0.25851223
CNPY3,-0.100521885,0.15804018,0.25856206
ZNF281,-0.0363395,0.2230084,0.2593479
RUFY2,-0.08765853,0.17175423,0.25941277
REL,-0.15389521,0.10558581,0.259481
AP2A1,0.091560245,0.35105467,0.25949442
ECE1,0.06447812,0.3250064,0.26052827
GFPT1,0.045507126,0.30620098,0.26069385
HMGN3,-0.11178711,0.1489792,0.26076633
DDX60,0.000902851,0.26168483,0.26078197
RNASEH2B,-0.052358743,0.20860058,0.26095933
GSTZ1,-0.11504934,0.14597224,0.26102158
DDX41,-0.062489692,0.19863762,0.26112732
PSMB2,0.029585801,0.2912825,0.2616967
SDSL,0.002150875,0.2639157,0.26176482
TXNL4A,-0.07455131,0.18740052,0.26195183
KCMF1,0.02156204,0.28354943,0.2619874
APRT,0.024357596,0.28644645,0.26208887
ATP1A2,-0.06348805,0.19862743,0.26211548
ALB,0.033132527,0.29556024,0.26242772
RAB29,0.012793253,0.27545008,0.26265684
POLR1D,-0.12465464,0.1383631,0.26301774
KIF3B,-0.08302845,0.18011914,0.2631476
DDX52,-0.001179259,0.26233453,0.26351377
GMPPA,0.009090083,0.27267486,0.26358476
HNRNPAB,-0.034348726,0.22934777,0.2636965
NCKIPSD,0.020821016,0.28460604,0.26378503
PEX14,-0.003046351,0.26078355,0.26382992
PLSCR1,-0.014671311,0.24925967,0.26393098
PSMC3,-0.010121047,0.25384197,0.263963
KRT16,-0.0741258,0.18994394,0.26406974
TXLNA,-0.022974143,0.24118805,0.26416218
ACSL5,-0.021957291,0.24231185,0.26426914
RAB3GAP1,-0.030207394,0.23407814,0.26428553
NUFIP1,-0.10704791,0.15753958,0.2645875
ALDOC,-0.040016767,0.2248561,0.26487285
KHDC4,-0.06528368,0.19975464,0.2650383
SVIL,-0.023744293,0.24135259,0.26509687
NSD1,-0.024840657,0.24032037,0.26516104
AK6,-0.0725316,0.19269496,0.26522657
ABCF1,-0.109723754,0.15591565,0.2656394
HSP90AB2P,-0.081676774,0.18404323,0.26572
PSMD2,0.003292866,0.26923874,0.26594588
SHPK,0.0413644,0.3073662,0.2660018
RPS27A,-0.005635556,0.26083317,0.26646873
IGF2BP2,0.024604445,0.29111722,0.26651278
SLIT1,0.014157379,0.2807529,0.2665955
