,protein,mean_orig,mean_ko,diff,p_value
1559,DNAJC9,0.018678172,-0.1865662,-0.20524438,0.02449822316949693
1560,MED17,-0.06125328,-0.26644894,-0.20519567,0.02581831546573549
1561,RAB34,-0.023856342,-0.2289723,-0.20511596,0.033000413511636566
1562,CCDC90B,0.14409088,-0.06087594,-0.20496681,0.0361278265974478
1563,C5orf24,-0.10449637,-0.3092066,-0.20471025,0.018684845500472804
1564,LCMT1,-0.004337371,-0.2088208,-0.20448343,0.015092805694708972
1565,LIMCH1,0.018099079,-0.1862787,-0.20437779,0.021936450209081446
1566,TAMM41,-0.024427699,-0.22880435,-0.20437665,0.014342525980580004
1567,MIER1,0.096850105,-0.10744514,-0.20429525,0.026157127306730067
1568,PCYT2,0.019225307,-0.18452366,-0.20374897,0.044285072945400766
1569,UMPS,-0.053664394,-0.2574115,-0.20374712,0.015489283896475319
1570,PNKD,0.008423387,-0.19528793,-0.20371132,0.025070768109710154
1571,FOXRED1,0.046362195,-0.15728708,-0.20364927,0.014692134862243873
1572,FMC1,0.028140372,-0.1752603,-0.20340067,0.014870980390269113
1573,NKIRAS2,0.13737603,-0.06598334,-0.20335937,0.032858131961789355
1574,KRT72,0.08574575,-0.11753633,-0.20328209,0.037283203828585694
1575,TRIOBP,0.085277066,-0.11789627,-0.20317334,0.031145086652380367
1576,AP1M2,0.0738855,-0.12869425,-0.20257975,0.04661401572775235
1577,PSTPIP2,-0.060242463,-0.26277602,-0.20253356,0.01030036734463517
1578,ARIH1,-0.099613115,-0.3019328,-0.2023197,0.03543662932545557
1579,CDK4,-0.00064452033,-0.20293303,-0.20228851,0.03086318494336905
1580,CEP76,0.07047598,-0.13176051,-0.20223649,0.024477740577087365
1581,ERGIC2,0.060442217,-0.14176367,-0.2022059,0.01629736962821912
1582,TIAL1,-0.052555267,-0.25473517,-0.20217991,0.03924763215509221
1583,TEX10,0.051464844,-0.15030679,-0.20177163,0.0196807483741729
1584,BRD1,-0.06571002,-0.2670943,-0.20138429,0.02386898769327731
1585,RRP36,-0.0067252805,-0.20806096,-0.20133568,0.021798936541444627
1586,MYH14,0.15405096,-0.04727205,-0.201323,0.03167965240740445
1587,PODXL,0.08170335,-0.119448,-0.20115134,0.01775985020826221
1588,ITPRID2,0.1811016,-0.01999378,-0.20109539,0.022735549259108034
1589,CPD,0.10625074,-0.09484009,-0.20109083,0.01922910822878945
1590,TRNT1,-0.09924082,-0.30024385,-0.20100304,0.03546660374882404
1591,NUP62,-0.09474517,-0.29560563,-0.20086047,0.019365351396102105
1592,TERF2,-0.1605215,-0.3613418,-0.2008203,0.013709601861808628
1593,JUND,-0.04471641,-0.24548191,-0.20076549,0.014440974616893703
